#,"открытого, полного энтузиазма","критичного, склонного спорить",надежного и дисциплинированного,"тревожного, меня легко расстроить","открытого для нового опыта, сложного","замкнутого, тихого","сочувствующего, сердечного","неорганизованного, беспечного","спокойного, эмоционально устойчивого","обыкновенного, не творческого",Ваш пол:,Ваш возраст:,Start Date (UTC),Submit Date (UTC),Network ID
4,5,5,3,6,6,2,6,6,4,3,Женский,29,2016-01-30 15:24:15,2016-01-30 15:25:38,71e8c09168
33,4,2,6,3,6,4,6,5,1,6,Женский,20,2016-01-30 15:25:45,2016-01-30 15:28:40,d61ee9ef98
82,4,5,5,3,2,2,5,2,6,3,Мужской,22,2016-01-30 15:24:36,2016-01-30 15:29:07,e1a02263d7
69,6,5,2,7,7,5,2,7,4,1,Мужской,32,2016-01-30 15:27:46,2016-01-30 15:29:13,4905f82fb9
8,7,5,5,4,6,3,6,1,4,6,Женский,19,2016-01-30 15:38:02,2016-01-30 15:39:07,c424b54076
65,6,3,3,2,7,2,5,6,3,1,Женский,18,2016-01-30 15:47:01,2016-01-30 15:48:03,1a43bdc15f
59,6,5,4,7,4,2,5,5,2,5,Женский,28,2016-01-30 15:44:43,2016-01-30 15:50:08,69b7f70a54
0,6,3,6,2,5,6,4,3,6,5,Женский,20,2016-01-30 15:48:47,2016-01-30 15:51:55,73405e0104
22,6,5,5,5,6,2,5,3,4,2,Женский,32,2016-01-30 15:52:28,2016-01-30 15:54:28,9b9bb39e7d
35,4,5,4,3,6,4,4,4,4,2,Мужской,24,2016-01-30 15:51:59,2016-01-30 15:55:58,2f1022aa7b
14,3,5,6,3,4,3,5,1,5,2,Мужской,22,2016-01-30 16:02:14,2016-01-30 16:04:58,5c0d21c161
13,5,6,6,4,5,6,7,3,5,4,Женский,22,2016-01-30 16:13:41,2016-01-30 16:16:09,f742087b00
5,3,2,5,6,6,6,6,3,2,1,Женский,25,2016-01-30 18:05:06,2016-01-30 18:06:41,f6ed39e8dd
1,2,5,2,4,4,4,4,6,4,4,Мужской,29,2016-01-30 18:16:51,2016-01-30 18:23:47,e1ed71ab48
42,3,6,4,3,5,5,2,3,6,2,Мужской,24,2016-01-30 18:24:42,2016-01-30 18:26:14,e6cd028692
73,3,5,7,5,6,7,7,1,4,1,Женский,30,2016-01-30 18:55:45,2016-01-30 18:58:12,ba573d4cbc
46,5,7,6,5,7,3,6,3,5,6,Мужской,21,2016-01-30 19:04:06,2016-01-30 19:05:38,7238a01787
24,7,5,4,3,7,3,6,3,4,1,Женский,26,2016-01-30 19:36:08,2016-01-30 19:37:28,e52e22a0d6
6,6,3,3,3,6,4,7,2,6,2,Мужской,21,2016-01-30 19:49:55,2016-01-30 19:55:03,e5d0537521
7,4,3,3,3,5,3,4,5,5,5,Женский,24,2016-01-30 19:38:38,2016-01-30 20:03:26,5ca97fd886
53,5,5,4,3,6,5,5,3,6,3,Мужской,33,2016-01-30 20:34:10,2016-01-30 20:35:57,25fb93d951
68,7,6,5,2,6,3,1,5,5,6,Женский,21,2016-01-30 21:29:47,2016-01-30 21:31:07,e4bcc760d7
23,5,6,4,5,6,3,5,3,2,4,Женский,22,2016-01-30 22:00:58,2016-01-30 22:02:46,90df83ea43
76,6,5,5,2,6,2,5,2,6,1,Мужской,20,2016-01-30 22:13:18,2016-01-30 22:14:34,dfffc7dff8
44,3,5,5,2,6,4,5,2,6,6,Мужской,20,2016-01-30 22:55:52,2016-01-30 22:58:39,4c73c16189
36,7,2,4,3,6,1,6,2,2,1,Женский,42,2016-01-31 00:56:13,2016-01-31 00:57:28,d07ba9126e
20,5,6,3,6,5,6,7,6,5,1,Мужской,19,2016-01-31 01:07:04,2016-01-31 01:09:16,4414b00335
60,3,5,4,5,5,6,5,5,3,5,Женский,26,2016-01-31 02:05:01,2016-01-31 02:06:26,315fb286f4
9,5,5,3,5,5,5,4,5,2,3,Мужской,25,2016-01-31 02:12:54,2016-01-31 02:13:46,7d3e064419
72,5,1,7,2,6,3,6,2,5,2,Женский,25,2016-01-31 05:45:08,2016-01-31 05:48:31,0e5af355e7
48,4,5,6,6,6,6,7,3,2,1,Женский,25,2016-01-31 07:31:08,2016-01-31 07:34:33,47574a4f93
25,6,5,6,1,5,4,2,2,6,2,Женский,19,2016-01-31 07:39:58,2016-01-31 07:41:24,2e10454029
30,6,7,7,7,6,7,1,1,3,4,Женский,43,2016-01-31 09:04:56,2016-01-31 09:06:58,6307957d86
26,5,3,7,6,4,3,5,2,5,5,Женский,22,2016-01-31 10:15:21,2016-01-31 10:17:17,f39e0d7c64
64,6,4,3,3,5,5,5,5,6,3,Женский,23,2016-01-31 10:16:20,2016-01-31 10:18:33,3e422da157
49,5,6,4,4,6,4,3,6,5,3,Женский,26,2016-01-31 10:34:12,2016-01-31 10:35:39,16dc035c47
61,3,5,3,6,6,4,5,4,4,3,Женский,25,2016-01-31 10:55:34,2016-01-31 10:59:29,a8601b7ce3
10,6,5,5,4,5,4,5,3,6,4,Мужской,31,2016-01-31 12:50:24,2016-01-31 12:51:31,641d7683cc
37,2,4,5,5,5,2,7,3,3,2,Женский,27,2016-01-31 12:56:56,2016-01-31 12:58:53,ffe2d223c1
54,6,4,5,7,7,7,5,3,2,4,Женский,25,2016-01-31 13:55:06,2016-01-31 13:58:40,ae5566859a
18,6,2,6,5,6,3,7,1,5,7,Женский,22,2016-01-31 15:27:37,2016-01-31 15:29:18,8497185062
77,6,6,6,7,6,2,6,1,3,6,Женский,25,2016-01-31 15:54:08,2016-01-31 15:55:42,4ae54dc2e1
38,3,4,4,2,4,6,6,5,6,2,Мужской,19,2016-01-31 20:14:14,2016-01-31 20:15:51,35d6b16a8e
55,7,6,7,7,7,2,7,1,3,2,Женский,24,2016-02-01 09:06:53,2016-02-01 09:08:42,28308f1e7c
39,5,6,5,4,5,4,5,3,4,6,Мужской,34,2016-02-01 10:48:01,2016-02-01 10:50:55,a20e0c24bb
74,6,4,6,2,6,1,6,2,5,4,Женский,22,2016-02-01 12:44:03,2016-02-01 12:45:17,1da590753c
75,6,7,5,6,5,2,7,5,4,2,Мужской,22,2016-02-01 15:51:55,2016-02-01 16:41:13,0739d87a2b
71,2,6,5,6,4,5,5,4,2,2,Мужской,29,2016-02-01 19:31:33,2016-02-01 19:33:00,56d10262b6
27,4,4,4,4,4,4,4,4,4,4,Женский,26,2016-02-02 05:16:06,2016-02-02 05:17:06,59327d6c84
34,6,5,7,2,7,1,5,1,5,1,Женский,21,2016-02-02 06:10:54,2016-02-02 06:13:17,b9f1f83582
61,5,6,2,6,5,4,5,5,2,4,Женский,25,2016-02-02 15:26:20,2016-02-02 15:28:03,afcdf5d5bc
17,6,7,4,6,7,4,5,5,7,4,Мужской,30,2016-02-03 17:09:39,2016-02-03 17:10:41,ef420414f5
56,3,4,3,5,3,2,5,6,4,6,Женский,18,2016-02-03 23:14:19,2016-02-03 23:15:35,661969c2e6
28,5,5,6,3,7,2,6,2,5,2,Женский,22,2016-02-04 10:53:18,2016-02-04 10:55:42,729cd2e013
3,3,6,4,5,3,7,4,3,4,3,Мужской,22,2016-02-04 13:58:25,2016-02-04 14:39:25,33112bd951
